tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
867,58:16.1,12:43.8,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,404,Mass Ave T Station,42.34135616,-71.08336953,3078,Customer,1999,2
383,45:04.8,51:28.3,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,59,Chinatown Gate Plaza,42.351356,-71.059367,3333,Subscriber,1990,2
1690,17:12.6,45:23.1,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,39,Washington St at Rutland St,42.3385146,-71.07404083,5804,Subscriber,1995,2
501,08:42.7,17:04.2,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,29,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,3163,Subscriber,1998,1
554,17:34.6,26:49.4,107,Ames St at Main St,42.3625,-71.08822,177,University Park,42.36264779,-71.10006094,5184,Subscriber,1993,1
478,29:53.3,37:51.9,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,2354,Subscriber,1986,1
3413,35:46.7,32:40.4,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,2368,Subscriber,1997,1
314,15:41.4,20:56.1,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2482,Customer,1994,1
1168,49:46.2,09:14.2,401,High St at Cypress St,42.32538436,-71.12177596,21,Prudential Center - Belvedere St,42.34652004,-71.08065777,6125,Subscriber,1980,1
200,18:31.9,21:52.6,189,Kendall T,42.36242784,-71.08495474,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,5738,Subscriber,1995,1
858,18:08.6,32:26.9,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,98,Warren St at Chelsea St,42.371848,-71.060292,3196,Subscriber,1982,1
915,36:02.9,51:18.5,381,Inman Square at Springfield St.,42.37438409,-71.10015746,189,Kendall T,42.36242784,-71.08495474,4972,Subscriber,1991,1
497,13:17.6,21:35.0,163,The Lawn on D,42.344792,-71.044024,222,Troy Boston,42.343749,-71.062256,5747,Subscriber,1992,1
653,05:35.6,16:28.7,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,3526,Subscriber,1991,2
